Player,G,FG.,TRB,AST.x,PS.G,WEIGHT,heightnum
Aaron Brooks,32,0.406,0.5,0.6,2.3,161,72
Aaron Jackson,1,0.333,3,1,8,183,75
Abdel Nader,48,0.336,1.5,0.5,3,230,78
Al Horford,72,0.489,7.4,4.7,12.9,245,72
Al-Farouq Aminu,69,0.395,7.6,1.2,9.3,220,81
Alec Burks,64,0.411,3,1,7.7,214,78
Alex Abrines,75,0.395,1.5,0.4,4.7,190,78
Amir Johnson,74,0.538,4.5,1.6,4.6,240,81
Andre Iguodala,64,0.463,3.8,3.3,6,215,78
Andrew Wiggins,82,0.438,4.4,2,17.7,202,80
Ante Zizic,32,0.731,1.9,0.2,3.7,250,73
Anthony Davis,75,0.534,11.1,2.3,28.1,253,72
Aron Baynes,81,0.471,5.4,1.1,6,260,72
Bam Adebayo,69,0.512,5.5,1.5,6.9,255,72
Ben Simmons,81,0.545,8.1,8.2,15.8,230,72
Bojan Bogdanovic,80,0.474,3.4,1.5,14.3,230,80
Bradley Beal,82,0.46,4.4,4.5,22.6,207,77
Brandon Jennings,14,0.375,2.2,3.1,5.2,170,73
Brandon Paul,64,0.433,1.1,0.6,2.3,200,76
Bryn Forbes,80,0.421,1.4,1,6.9,190,75
Caleb Swanigan,27,0.4,2,0.5,2.3,250,80
Carmelo Anthony,78,0.404,5.8,1.3,16.2,240,80
Cedi Osman,61,0.484,2,0.7,3.9,215,80
Cheick Diallo,52,0.58,4.1,0.4,4.9,220,81
Chinanu Onuaku,1,0.4,4,1,4,245,72
Chris Paul,58,0.46,5.4,7.9,18.6,175,72
Clint Capela,74,0.652,10.8,0.9,13.9,240,72
Corey Brewer,54,0.453,1.7,0.8,3.7,186,81
Corey Brewer,72,0.449,2.1,0.9,5.3,186,81
Corey Brewer,18,0.444,3.4,1.3,10.1,186,81
Cory Joseph,82,0.424,3.2,3.2,7.9,190,75
Dakari Johnson,31,0.564,1.1,0.3,1.8,255,84
Damian Jones,15,0.5,0.9,0.1,1.7,245,84
Damian Lillard,73,0.439,4.5,6.6,26.9,195,75
Danny Green,70,0.387,3.6,1.6,8.6,215,78
Dante Exum,14,0.483,1.9,3.1,8.1,190,78
Dario Saric,78,0.453,6.7,2.6,14.6,223,72
Darius Miller,82,0.444,2,1.4,7.8,225,80
Darren Collison,69,0.495,2.6,5.3,12.4,185,74
David Stockton,3,0.667,0,0,3.3,165,61
David West,73,0.571,3.3,1.9,6.8,250,81
Davis Bertans,77,0.44,2,1,5.9,210,72
DeAndre Liggins,58,0.377,1.3,0.8,1.7,209,78
DeAndre Liggins,31,0.338,1.6,0.9,1.8,209,78
DeAndre Liggins,27,0.439,1,0.8,1.6,209,78
Dejounte Murray,81,0.443,5.7,2.9,8.1,170,77
Delon Wright,69,0.465,2.9,2.9,8,190,77
DeMar DeRozan,80,0.456,3.9,5.2,23,220,79
Derrick Favors,77,0.563,7.2,1.3,12.3,265,72
Derrick Rose,16,0.439,1.8,1.6,9.8,190,75
Derrick Rose,25,0.435,1.4,1.5,8.4,190,75
Derrick Rose,9,0.426,0.7,1.2,5.8,190,75
Derrick White,17,0.485,1.5,0.5,3.2,190,76
Domantas Sabonis,74,0.514,7.7,2,11.6,252,72
Donovan Mitchell,79,0.437,3.7,3.7,20.5,215,75
Draymond Green,70,0.454,7.6,7.3,11,230,79
Dwyane Wade,46,0.455,3.9,3.5,11.2,220,76
Dwyane Wade,21,0.409,3.4,3.1,12,220,76
Dwyane Wade,67,0.438,3.8,3.4,11.4,220,76
E'Twaun Moore,82,0.508,2.9,2.3,12.5,191,76
Ed Davis,78,0.582,7.4,0.5,5.3,245,72
Ekpe Udoh,63,0.5,2.4,0.8,2.6,245,72
Emeka Okafor,26,0.505,4.6,0.3,4.4,255,72
Eric Bledsoe,3,0.4,2.3,3,15.7,205,73
Eric Bledsoe,71,0.476,3.9,5.1,17.8,205,73
Eric Bledsoe,74,0.473,3.8,5,17.7,205,73
Eric Gordon,69,0.428,2.5,2.2,18,215,76
Ersan Ilyasova,23,0.439,6.7,1.7,10.8,235,72
Ersan Ilyasova,46,0.459,5.5,1.1,10.9,235,72
Ersan Ilyasova,69,0.452,5.9,1.3,10.9,235,72
Evan Turner,79,0.447,3.1,2.2,8.2,220,79
Fred VanVleet,76,0.426,2.4,3.2,8.6,195,72
Furkan Korkmaz,14,0.286,0.8,0.3,1.6,190,79
George Hill,67,0.46,2.7,2.8,10,188,75
George Hill,24,0.444,2.7,2.8,9.4,188,75
George Hill,43,0.469,2.7,2.8,10.3,188,75
Gerald Green,41,0.407,3.2,0.6,12.1,205,79
Giannis Antetokounmpo,75,0.529,10,4.8,26.9,222,73
Goran Dragic,75,0.45,4.1,4.8,17.3,190,75
Gorgui Dieng,79,0.479,4.6,0.9,5.9,251,73
Greg Monroe,20,0.626,8,2.5,11.3,265,73
Greg Monroe,26,0.53,6.3,2.3,10.2,265,73
Greg Monroe,51,0.565,6.9,2.2,10.3,265,73
Greg Monroe,5,0.485,5,1,6.8,265,73
Guerschon Yabusele,33,0.426,1.6,0.5,2.4,260,80
Hassan Whiteside,54,0.54,11.4,1,14,265,84
Ian Clark,74,0.448,1.7,1.5,7.4,175,75
Ian Mahinmi,77,0.556,4.1,0.7,4.8,262,73
Jabari Parker,31,0.482,4.9,1.9,12.6,250,80
Jae Crowder,27,0.386,3.8,1.5,11.8,235,78
Jae Crowder,53,0.418,3.3,1.1,8.6,235,78
Jae Crowder,80,0.404,3.4,1.2,9.7,235,78
Jake Layman,35,0.298,0.5,0.3,1,210,81
Jakob Poeltl,82,0.659,4.8,0.7,6.9,230,84
Jamal Crawford,80,0.415,1.2,2.3,10.3,185,77
James Harden,72,0.449,5.4,8.8,30.4,220,77
James Johnson,73,0.503,4.9,3.8,10.8,240,80
Jason Smith,33,0.391,1.6,0.4,3.4,240,84
Jason Terry,51,0.383,0.9,1.2,3.3,185,74
JaVale McGee,65,0.621,2.6,0.5,4.8,270,84
Jaylen Brown,70,0.465,4.9,1.6,14.5,225,79
Jayson Tatum,80,0.475,5,1.6,13.9,205,80
Jeff Green,78,0.477,3.2,1.3,10.8,235,81
Jeff Teague,70,0.446,3,7,14.2,189,74
Jerami Grant,81,0.535,3.9,0.7,8.4,220,81
Jerryd Bayless,39,0.416,2.1,1.4,7.9,200,75
Jimmy Butler,59,0.474,5.3,4.9,22.2,236,80
Joe Ingles,82,0.467,4.2,4.8,11.5,226,80
Joe Johnson,32,0.42,3.3,1.4,7.3,240,79
Joe Johnson,23,0.381,2.8,1.7,6,240,79
Joe Johnson,55,0.406,3.1,1.5,6.8,240,79
Joe Young,53,0.43,1.2,0.7,3.9,185,74
Joel Embiid,63,0.483,11,3.2,22.9,250,84
Joffrey Lauvergne,55,0.516,3.1,0.7,4.1,260,73
John Henson,76,0.572,6.8,1.5,8.8,229,73
John Wall,41,0.42,3.7,9.6,19.4,210,76
Jonas Jerebko,74,0.466,3.3,0.6,5.8,231,72
Jonas Valanciunas,77,0.568,8.6,1.1,12.7,255,84
Jordan Bell,57,0.627,3.6,1.8,4.6,224,81
Jordan Clarkson,28,0.456,2.1,1.7,12.6,194,77
Jordan Clarkson,81,0.451,2.7,2.7,13.9,194,77
Jordan Clarkson,53,0.448,3,3.3,14.5,194,77
Jordan Crawford,5,0.444,0.8,2.6,6.6,195,77
Jose Calderon,57,0.503,1.5,2.1,4.5,200,75
Josh Huestis,69,0.33,2.3,0.3,2.3,230,79
Josh Richardson,81,0.451,3.5,2.9,12.9,200,78
Jrue Holiday,81,0.494,4.5,6,19,205,76
Justin Anderson,38,0.431,2.4,0.7,6.2,230,78
Justise Winslow,68,0.424,5.4,2.2,7.8,225,79
Jusuf Nurkic,79,0.505,9,1.8,14.3,280,84
Karl-Anthony Towns,82,0.545,12.3,2.4,21.3,248,84
Kelly Olynyk,76,0.497,5.7,2.7,11.5,245,84
Kevin Durant,68,0.516,6.8,5.4,26.4,240,81
Kevin Love,59,0.458,9.3,1.7,17.6,251,72
Kevon Looney,66,0.58,3.3,0.6,4,220,81
Khris Middleton,82,0.466,5.2,4,20.1,234,80
Klay Thompson,73,0.488,3.8,2.5,20,215,79
Kyle Anderson,74,0.527,5.4,2.7,7.9,230,81
Kyle Korver,73,0.459,2.3,1.2,9.2,212,79
Kyle Lowry,78,0.427,5.6,6.9,16.2,205,72
LaMarcus Aldridge,75,0.51,8.5,2,23.1,260,73
Lance Stephenson,82,0.427,5.2,2.9,9.2,230,78
LeBron James,82,0.542,8.6,9.1,27.5,250,80
Lorenzo Brown,14,0.412,1.1,0.9,2.3,189,77
Luc Mbah a Moute,61,0.481,3,0.9,7.5,230,80
Lucas Nogueira,49,0.613,1.8,0.4,2.5,220,84
Luke Babbitt,13,0.234,1.2,0.4,2.5,225,81
Luke Babbitt,50,0.423,1.9,0.6,5.2,225,81
Luke Babbitt,37,0.476,2.2,0.7,6.1,225,81
Malcolm Brogdon,48,0.485,3.3,3.2,13,215,77
Manu Ginobili,65,0.434,2.2,2.5,8.9,205,78
Marcin Gortat,82,0.518,7.6,1.8,8.4,240,73
Marco Belinelli,80,0.442,1.9,1.9,12.1,210,77
Marco Belinelli,52,0.411,1.9,2,11.4,210,77
Marco Belinelli,28,0.495,1.8,1.6,13.6,210,77
Marcus Georges-Hunt,42,0.438,0.4,0.2,1.4,226,77
Marcus Morris,54,0.429,5.4,1.3,13.6,235,81
Marcus Smart,54,0.367,3.5,4.8,10.2,220,76
Markelle Fultz,14,0.405,3.1,3.8,7.1,200,76
Markieff Morris,73,0.48,5.6,1.9,11.5,245,72
Matthew Dellavedova,38,0.362,1.7,3.8,4.3,198,76
Maurice Harkless,59,0.495,2.7,0.9,6.5,220,81
Meyers Leonard,33,0.59,2.1,0.5,3.4,255,85
Mike Scott,76,0.527,3.3,1.1,8.8,237,80
Myles Turner,65,0.479,6.4,1.3,12.7,255,73
Nemanja Bjelica,67,0.461,4.1,1.3,6.8,230,72
Nick Young,80,0.412,1.6,0.5,7.3,210,79
Nikola Mirotic,25,0.474,6.4,1.6,16.8,238,72
Nikola Mirotic,55,0.447,7.4,1.5,15.6,238,72
Nikola Mirotic,30,0.427,8.2,1.4,14.6,238,72
Norman Powell,70,0.401,1.7,1.3,5.5,215,76
OG Anunoby,74,0.471,2.5,0.7,5.9,235,80
Pascal Siakam,81,0.508,4.5,2,7.3,230,81
Pat Connaughton,82,0.423,2,1.1,5.4,210,77
Patrick Patterson,82,0.398,2.4,0.7,3.9,230,81
Patty Mills,82,0.411,1.9,2.8,10,185,72
Pau Gasol,77,0.458,8,3.1,10.1,250,84
Paul George,79,0.43,5.7,3.3,21.9,220,81
Quinn Cook,33,0.484,2.5,2.7,9.5,179,74
Rajon Rondo,65,0.468,4,8.2,8.3,186,73
Raul Neto,41,0.457,1.2,1.8,4.5,179,73
Raymond Felton,82,0.406,1.9,2.5,6.9,205,73
Richaun Holmes,48,0.56,4.4,1.3,6.5,235,72
Ricky Rubio,77,0.418,4.6,5.3,13.1,190,76
Robert Covington,80,0.413,5.4,2,12.6,225,81
Rodney Hood,39,0.424,2.8,1.7,16.8,206,80
Rodney Hood,60,0.429,2.8,1.6,14.7,206,80
Rodney Hood,21,0.442,2.6,1.4,10.8,206,80
Rodney McGruder,18,0.493,1.8,0.9,5.1,200,76
Royce O'Neale,69,0.423,3.4,1.4,5,226,78
Rudy Gay,57,0.471,5.1,1.3,11.5,230,80
Rudy Gobert,56,0.622,10.7,1.4,13.5,245,85
Russell Westbrook,80,0.449,10.1,10.3,25.4,200,75
Ryan Anderson,66,0.431,5,0.9,9.3,240,72
Semi Ojeleye,73,0.346,2.2,0.3,2.7,235,79
Serge Ibaka,76,0.483,6.3,0.8,12.6,235,72
Shabazz Muhammad,11,0.552,2.8,0.6,8.5,221,78
Shabazz Muhammad,43,0.447,1.8,0.3,5,221,78
Shabazz Muhammad,32,0.388,1.4,0.2,3.8,221,78
Shabazz Napier,74,0.42,2.3,2,8.7,175,73
Shane Larkin,54,0.384,1.7,1.8,4.3,175,61
Shaun Livingston,71,0.501,1.8,2,5.5,192,79
Solomon Hill,12,0.268,3,1.8,2.4,225,79
Stephen Curry,51,0.495,5.1,6.1,26.4,190,75
Sterling Brown,54,0.4,2.6,0.5,4,230,78
Steven Adams,76,0.629,9,1.2,13.9,255,84
T.J. McConnell,76,0.499,3,4,6.3,190,74
Taj Gibson,82,0.577,7.1,1.2,12.2,235,81
Tarik Black,51,0.591,3.2,0.3,3.5,250,81
Terrance Ferguson,61,0.414,0.8,0.3,3.1,184,79
Terry Rozier,80,0.395,4.7,2.9,11.3,190,74
Thaddeus Young,81,0.487,6.3,1.9,11.8,230,80
Thon Maker,74,0.411,3,0.6,4.8,223,85
Tim Frazier,59,0.395,1.9,3.3,3,170,73
Tomas Satoransky,73,0.523,3.2,3.9,7.2,210,79
Tony Bradley,9,0.273,1.2,0.1,0.9,248,72
Tony Parker,55,0.459,1.7,3.5,7.7,185,74
Tony Snell,75,0.435,1.9,1.3,6.9,221,79
Trevor Ariza,67,0.412,4.4,1.6,11.7,215,80
Trevor Booker,33,0.56,3.7,0.8,4.7,228,80
Trevor Booker,18,0.513,6.6,2.1,10.1,228,80
Trevor Booker,68,0.516,4.7,1.2,6.3,228,80
Trevor Booker,17,0.464,4.5,1,5.4,228,80
Tristan Thompson,53,0.562,6.6,0.6,5.8,238,81
Tyler Johnson,72,0.435,3.4,2.3,11.7,190,76
Tyler Zeller,66,0.56,4.6,0.7,6.7,250,84
Tyler Zeller,24,0.59,4.6,0.8,5.9,250,84
Tyler Zeller,42,0.546,4.6,0.7,7.1,250,84
Tyus Jones,82,0.457,1.6,2.8,5.1,184,74
Victor Oladipo,75,0.477,5.2,4.3,23.1,210,76
Wayne Ellington,77,0.407,2.8,1,11.2,200,77
Zach Collins,66,0.398,3.3,0.8,4.4,230,84
Zaza Pachulia,69,0.564,4.7,1.6,5.4,270,73
Zhou Qi,18,0.188,1.2,0.1,1.2,210,85