Player,TEAM,AGE,HEIGHT,WEIGHT,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,heightnum
Aaron Brooks,MIN,33,6-0,161,1,26,2,2.0,0.0,0.0,0.0,0.0%,0.0%,56.4%,51.5%,0.0%,72
Aaron Jackson,HOU,32,6-3,183,Undrafted,Undrafted,6,0.8,0.5,0.2,-9.8,15.4%,6.7%,23.1%,51.2%,12.5%,75
Abdel Nader,BOS,24,6-6,230,2,58,9,1.3,0.3,0.3,-21.6,3.6%,7.1%,28.3%,35.8%,21.4%,78
Al Horford,BOS,31,6-10,245,1,3,16,16.3,8.3,3.4,4.9,5.4%,21.3%,18.8%,64.5%,16.1%,72
Al-Farouq Aminu,POR,27,6-9,220,1,8,4,17.3,9.0,1.3,-16.3,8.7%,22.0%,18.8%,65.2%,6.2%,81
Alec Burks,UTA,26,6-6,214,1,12,9,9.1,2.7,1.9,1.6,1.8%,21.0%,28.8%,58.1%,23.6%,78
Alex Abrines,OKC,24,6-6,190,2,32,6,4.0,2.7,0.3,8.5,3.2%,11.6%,8.9%,57.5%,2.4%,78
Amir Johnson,PHI,31,6-9,240,2,56,8,3.3,2.9,1.1,6.5,14.1%,12.0%,11.0%,56.0%,13.6%,81
Andre Iguodala,GSW,34,6-6,215,1,9,13,7.9,4.9,3.1,13.6,3.2%,15.6%,12.5%,59.1%,14.4%,78
Andrew Wiggins,MIN,23,6-8,202,1,1,5,15.8,5.2,2.0,-15.4,3.3%,13.2%,23.6%,51.4%,10.6%,80
Ante Zizic,CLE,21,6-11,250,1,23,4,1.0,1.3,0.3,-3.1,0.0%,33.3%,29.1%,25.8%,12.5%,73
Anthony Davis,NOP,25,6-10,253,1,1,9,30.1,13.4,1.7,0.4,7.2%,26.8%,30.1%,58.4%,6.9%,72
Aron Baynes,BOS,31,6-10,260,Undrafted,Undrafted,16,6.6,6.4,1.1,-1.7,13.3%,22.1%,13.3%,60.2%,8.2%,72
Bam Adebayo,MIA,20,6-10,255,1,14,5,3.4,4.0,0.0,-11.0,11.8%,14.9%,13.0%,40.2%,0.0%,72
Ben Simmons,PHI,21,6-10,230,1,1,10,16.3,9.4,7.7,-4.5,4.5%,24.7%,22.1%,54.1%,34.5%,72
Bojan Bogdanovic,IND,29,6-8,230,2,31,7,12.4,3.4,1.9,3.8,0.5%,11.5%,19.4%,50.9%,8.2%,80
Bradley Beal,WAS,24,6-5,207,1,3,6,23.2,3.3,2.8,-11.6,1.1%,10.2%,27.2%,58.8%,13.7%,77
Brandon Jennings,MIL,28,6-1,170,1,10,1,2.0,0.0,0.0,13.5,0.0%,0.0%,49.2%,34.7%,0.0%,73
Brandon Paul,SAS,27,6-4,200,Undrafted,Undrafted,1,0.0,1.0,1.0,65.7,0.0%,33.3%,0.0%,0.0%,25.0%,76
Bryn Forbes,SAS,24,6-3,190,Undrafted,Undrafted,4,4.3,0.8,0.5,-12.0,2.1%,4.3%,17.3%,42.3%,6.3%,75
CJ McCollum,POR,26,6-3,190,1,10,4,25.3,2.0,3.5,-11.5,0.0%,6.3%,24.9%,61.0%,14.3%,75
CJ Miles,TOR,31,6-6,225,2,34,10,9.6,2.4,0.8,-5.1,3.0%,9.9%,17.3%,61.5%,5.6%,78
Caleb Swanigan,POR,21,6-8,250,1,26,1,3.0,2.0,1.0,57.1,0.0%,25.0%,25.7%,39.9%,11.1%,80
Carmelo Anthony,OKC,33,6-8,240,1,3,6,11.8,5.7,0.3,-14.3,1.7%,17.2%,19.2%,45.2%,1.7%,80
Cedi Osman,CLE,23,6-8,215,Undrafted,Undrafted,9,1.1,0.6,0.3,-0.1,2.0%,10.8%,13.4%,33.9%,9.4%,80
Cheick Diallo,NOP,21,6-9,220,2,33,7,1.4,1.3,0.0,-23.1,8.9%,11.1%,12.1%,41.7%,0.0%,81
Chinanu Onuaku,HOU,21,6-10,245,2,37,1,0.0,1.0,1.0,-52.4,20.0%,0.0%,0.0%,0.0%,50.0%,72
Chris Paul,HOU,33,6-0,175,1,4,13,20.8,6.2,5.9,5.5,1.7%,19.1%,26.7%,56.8%,29.8%,72
Clint Capela,HOU,24,6-10,240,1,25,13,13.4,11.2,1.6,7.7,13.3%,27.9%,16.0%,63.8%,7.9%,72
Corey Brewer,OKC,32,6-9,186,1,7,6,6.2,2.2,0.8,-12.6,3.0%,6.6%,8.6%,66.9%,4.7%,81
Cory Joseph,IND,26,6-3,190,1,29,7,4.7,2.4,3.0,4.4,1.9%,13.8%,13.7%,46.3%,20.2%,75
Dakari Johnson,OKC,22,7-0,255,2,48,2,0.0,0.0,0.0,120.0,0.0%,0.0%,0.0%,0.0%,0.0%,84
Damian Jones,GSW,22,7-0,245,1,30,4,1.0,0.8,0.0,-72.8,7.1%,28.6%,23.3%,60.2%,0.0%,84
Damian Lillard,POR,27,6-3,195,1,6,4,18.5,4.5,4.8,-14.0,1.8%,11.2%,24.8%,47.1%,16.5%,75
Danny Green,SAS,30,6-6,215,2,46,5,4.2,2.2,0.2,-25.3,4.1%,9.1%,14.7%,35.0%,1.6%,78
Dante Exum,UTA,22,6-6,190,1,5,10,5.1,1.4,1.0,-8.8,3.7%,10.1%,23.6%,55.1%,13.7%,78
Dario Saric,PHI,24,6-10,223,1,12,10,17.2,7.3,3.5,-5.2,10.3%,14.2%,22.4%,54.6%,17.5%,72
Darius Miller,NOP,28,6-8,225,2,46,9,4.8,2.2,1.2,2.4,1.4%,11.4%,11.5%,58.7%,8.6%,80
Darren Collison,IND,30,6-2,185,1,21,7,11.3,3.0,4.7,2.7,0.6%,10.1%,17.7%,53.9%,24.1%,74
David Stockton,UTA,26,5-11,165,Undrafted,Undrafted,2,1.0,0.5,0.0,11.7,0.0%,16.7%,22.5%,33.3%,0.0%,61
David West,GSW,37,6-9,250,1,18,12,4.2,2.4,2.1,1.6,6.2%,19.5%,14.9%,62.9%,26.6%,81
Davis Bertans,SAS,25,6-10,210,2,42,5,3.4,2.2,1.2,-2.2,1.4%,14.5%,12.5%,37.2%,9.5%,72
DeAndre Liggins,NOP,30,6-6,209,2,53,3,0.3,0.3,0.0,-68.5,0.0%,8.3%,12.0%,26.6%,0.0%,78
DeMar DeRozan,TOR,28,6-7,220,1,9,10,22.7,3.6,4.0,-7.0,2.0%,10.8%,30.7%,51.1%,20.2%,79
Dejounte Murray,SAS,21,6-5,170,1,29,5,7.8,4.2,1.8,-8.7,4.1%,20.2%,20.2%,55.8%,18.0%,77
Delon Wright,TOR,26,6-5,190,1,20,10,8.6,2.2,2.3,-0.7,1.6%,10.8%,18.1%,57.3%,17.8%,77
Derrick Favors,UTA,26,6-10,265,1,3,11,9.3,5.2,1.2,7.6,7.7%,14.6%,14.3%,61.8%,6.7%,72
Derrick Rose,MIN,29,6-3,190,1,1,5,14.2,1.8,2.6,-2.3,1.0%,7.5%,25.6%,59.1%,17.1%,75
Derrick White,SAS,23,6-4,190,1,29,3,2.3,0.0,0.3,2.6,0.0%,0.0%,15.4%,58.3%,7.7%,76
Domantas Sabonis,IND,22,6-10,252,1,11,7,12.4,4.6,0.7,2.3,10.4%,13.8%,21.8%,62.2%,4.9%,72
Donovan Mitchell,UTA,21,6-3,215,1,13,11,24.4,5.9,4.2,-1.6,2.4%,14.5%,31.8%,51.2%,21.4%,75
Draymond Green,GSW,28,6-7,230,2,35,13,11.7,11.3,8.5,14.0,6.7%,25.1%,17.1%,52.1%,29.5%,79
Dwyane Wade,MIA,36,6-4,220,1,5,5,16.6,4.2,3.6,2.1,2.3%,15.0%,30.2%,51.0%,28.6%,76
E'Twaun Moore,NOP,29,6-4,191,2,55,9,11.3,2.6,1.7,2.8,2.3%,5.8%,15.9%,53.7%,6.7%,76
Ed Davis,POR,28,6-10,245,1,13,4,2.8,8.0,0.0,-3.4,8.5%,46.6%,10.2%,46.8%,0.0%,72
Ekpe Udoh,UTA,31,6-10,245,1,6,6,0.3,0.5,0.0,-19.8,4.3%,10.0%,7.3%,36.2%,0.0%,72
Emeka Okafor,NOP,35,6-10,255,1,2,1,0.0,0.0,0.0,-80.0,0.0%,0.0%,11.1%,0.0%,0.0%,72
Eric Bledsoe,MIL,28,6-1,205,1,18,7,13.6,3.6,3.7,8.1,1.7%,11.2%,23.9%,51.2%,17.3%,73
Eric Gordon,HOU,29,6-4,215,1,7,13,14.0,2.7,1.5,1.3,2.2%,7.0%,20.9%,52.1%,7.4%,76
Ersan Ilyasova,PHI,31,6-10,235,2,36,10,9.3,7.6,1.3,7.4,11.8%,21.9%,18.5%,49.9%,8.6%,72
Evan Turner,POR,29,6-7,220,1,2,3,9.3,4.0,3.3,-10.3,5.2%,9.9%,18.7%,41.3%,15.2%,79
Fred VanVleet,TOR,24,6-0,195,Undrafted,Undrafted,6,6.8,1.7,2.2,4.5,0.0%,10.9%,19.3%,48.2%,15.7%,72
Furkan Korkmaz,PHI,20,6-7,190,1,26,1,3.0,0.0,0.0,117.1,0.0%,0.0%,33.3%,150.0%,0.0%,79
George Hill,CLE,32,6-3,188,1,26,12,9.3,2.2,2.2,9.0,2.3%,6.9%,14.0%,61.2%,10.8%,75
Gerald Green,HOU,32,6-7,205,1,18,13,6.2,3.3,0.1,-8.4,3.1%,19.4%,18.4%,53.9%,0.8%,79
Giannis Antetokounmpo,MIL,23,6-11,222,1,15,7,25.7,9.6,6.3,0.4,3.7%,23.7%,28.1%,62.0%,28.2%,73
Glenn Robinson III,IND,24,6-7,215,2,40,2,1.0,0.5,0.0,12.8,0.0%,33.3%,8.8%,100%,0.0%,79
Goran Dragic,MIA,32,6-3,190,2,45,5,18.6,2.6,4.6,-6.2,2.1%,6.9%,27.8%,54.9%,24.7%,75
Gorgui Dieng,MIN,28,6-11,251,1,21,5,3.4,3.6,0.8,2.9,4.1%,19.5%,13.8%,43.0%,8.9%,73
Greg Monroe,BOS,27,6-11,265,1,7,10,5.1,3.3,0.5,-16.3,14.9%,24.4%,25.7%,54.6%,9.4%,73
Guerschon Yabusele,BOS,22,6-8,260,1,16,10,0.4,1.0,0.2,-9.1,7.0%,15.9%,9.1%,21.7%,6.7%,80
Hassan Whiteside,MIA,28,7-0,265,2,33,5,5.2,6.0,0.2,-15.3,13.0%,27.8%,20.7%,50.5%,2.1%,84
Ian Clark,NOP,27,6-3,175,Undrafted,Undrafted,9,7.8,1.1,1.2,-7.0,1.1%,4.4%,17.5%,51.7%,8.5%,75
Ian Mahinmi,WAS,31,6-11,262,1,28,6,5.0,1.8,0.2,3.1,8.3%,15.6%,16.3%,79.6%,3.2%,73
JJ Redick,PHI,33,6-4,200,1,11,10,18.2,1.5,2.6,4.9,1.0%,3.8%,20.5%,59.3%,11.9%,76
JR Smith,CLE,32,6-6,225,1,18,15,8.9,2.7,1.3,5.3,1.6%,8.8%,14.4%,51.4%,5.8%,78
JaVale McGee,GSW,30,7-0,270,1,18,9,5.8,3.7,0.4,8.1,14.6%,20.0%,20.7%,62.6%,6.8%,84
Jabari Parker,MIL,23,6-8,250,1,2,7,10.0,6.1,1.4,-3.1,5.8%,21.3%,20.9%,51.7%,9.8%,80
Jae Crowder,UTA,27,6-6,235,2,34,11,10.0,5.1,1.7,-8.5,1.3%,17.7%,18.5%,45.7%,9.1%,78
Jake Layman,POR,24,6-9,210,2,47,1,6.0,1.0,1.0,57.1,0.0%,12.5%,16.2%,100%,16.7%,81
Jakob Poeltl,TOR,22,7-0,230,1,9,9,5.4,4.0,0.7,-9.5,12.5%,19.4%,16.0%,62.2%,7.3%,84
Jamal Crawford,MIN,38,6-5,185,1,8,5,11.8,2.6,2.4,-4.2,0.9%,10.3%,21.2%,56.0%,14.8%,77
James Harden,HOU,28,6-5,220,1,3,13,28.7,5.3,7.2,9.3,2.3%,15.3%,36.7%,56.5%,36.3%,77
James Johnson,MIA,31,6-8,240,1,16,5,12.4,6.0,4.8,-9.6,2.0%,18.4%,15.7%,64.4%,23.3%,80
Jason Smith,WAS,32,7-0,240,1,20,1,0.0,0.0,0.0,-32.6,0.0%,0.0%,0.0%,0.0%,0.0%,84
Jason Terry,MIL,40,6-2,185,1,10,3,2.0,0.7,0.7,-6.5,4.0%,2.4%,6.3%,60.0%,6.1%,74
Jaylen Brown,BOS,21,6-7,225,1,3,15,17.8,5.0,1.5,2.9,3.0%,15.3%,24.0%,57.8%,8.1%,79
Jayson Tatum,BOS,20,6-8,205,1,3,16,18.0,4.1,2.8,5.3,2.1%,11.5%,23.7%,56.8%,13.3%,80
Jeff Green,CLE,31,6-9,235,1,5,15,7.2,2.1,1.4,-4.4,1.8%,9.6%,15.8%,53.7%,9.9%,81
Jeff Teague,MIN,29,6-2,189,1,19,5,13.0,3.6,5.8,-14.8,2.1%,11.3%,21.6%,55.6%,29.9%,74
Jerami Grant,OKC,24,6-9,220,2,39,6,7.2,3.3,1.0,8.9,6.3%,9.0%,15.0%,54.0%,6.7%,81
Jerryd Bayless,PHI,29,6-3,200,1,11,1,0.0,0.0,0.0,10.3,0.0%,0.0%,0.0%,0.0%,0.0%,75
Jimmy Butler,MIN,28,6-8,236,1,30,5,15.8,6.0,4.0,-1.9,2.2%,17.1%,20.6%,55.7%,18.0%,80
Joe Ingles,UTA,30,6-8,226,Undrafted,Undrafted,11,14.5,4.4,3.4,4.3,1.4%,12.1%,18.1%,62.3%,15.1%,80
Joe Johnson,HOU,36,6-7,240,1,10,6,1.7,1.3,0.3,-27.8,0.0%,15.4%,16.3%,41.7%,8.7%,79
Joe Young,IND,25,6-2,185,2,43,1,0.0,0.0,0.0,96.5,0.0%,0.0%,0.0%,0.0%,0.0%,74
Joel Embiid,PHI,24,7-0,250,1,3,8,21.4,12.6,3.0,5.7,9.2%,29.1%,29.7%,51.9%,14.7%,84
Joffrey Lauvergne,SAS,26,6-11,260,2,55,1,2.0,1.0,0.0,25.5,0.0%,14.3%,7.8%,100%,0.0%,73
John Henson,MIL,27,6-11,229,1,14,2,9.5,6.0,2.5,3.0,7.8%,10.8%,11.8%,68.4%,9.1%,73
John Wall,WAS,27,6-4,210,1,1,6,26.0,5.7,11.5,-3.1,1.6%,16.1%,33.1%,52.8%,49.6%,76
Jonas Jerebko,UTA,31,6-10,231,2,39,10,1.9,1.6,0.3,-8.5,5.5%,17.6%,11.8%,47.8%,5.7%,72
Jonas Valanciunas,TOR,26,7-0,255,1,5,10,14.6,10.5,1.2,4.5,14.3%,34.9%,24.9%,59.9%,7.6%,84
Jordan Bell,GSW,23,6-9,224,2,38,9,0.8,1.6,0.7,-3.2,3.8%,26.1%,10.4%,30.1%,15.8%,81
Jordan Clarkson,CLE,25,6-5,194,2,46,14,5.0,1.5,0.9,-12.6,2.6%,9.4%,21.6%,38.2%,8.3%,77
